window,parent,child,parent weight,child weight
365d,441840,4274025,1.0,0.587210050332628
365d,441840,4117930,1.0,0.256013984641545
365d,441840,4093991,1.0,0.172487040647787
365d,441840,255919,1.0,0.146833738394915
365d,441840,138239,1.0,0.126152596347612
365d,441840,4212577,1.0,0.118208538753673
365d,441840,444112,1.0,0.11444181156883
365d,441840,4011630,1.0,0.110646120978787
365d,441840,4227253,1.0,0.102189214723682
365d,441840,4024567,1.0,0.0922981676701183
365d,441840,135930,1.0,0.0702216424372523
365d,441840,4302537,1.0,0.0680633018366535
365d,441840,4023995,1.0,0.0680401023294671
365d,441840,4041283,1.0,0.0678620829955612
365d,441840,4041284,1.0,0.0594638716545733
365d,441840,4293175,1.0,0.056362960526989
365d,441840,4102111,1.0,0.0556767916158351
365d,441840,4042141,1.0,0.036365313481245
365d,441840,4038502,1.0,0.0361114602520975
365d,441840,4213101,1.0,0.0311533980451522
365d,441840,40480457,1.0,0.0243227695601104
365d,441840,432453,1.0,0.0221970992937066
365d,441840,4021667,1.0,0.0217981767798915
365d,441840,43021226,1.0,0.0127322459958532
365d,441840,4024566,1.0,0.0121904382778812
365d,441840,432455,1.0,0.0120665092036306
365d,441840,4086181,1.0,0.0109585309688585
365d,441840,437312,1.0,0.0089203378280211
365d,441840,433595,1.0,0.00630231024347013
365d,441840,4167864,1.0,0.00627821882182665
365d,441840,4088927,1.0,0.00536698593549544
365d,441840,4303401,1.0,0.00522768299720827
365d,441840,4103662,1.0,0.00506189139393223
365d,441840,4196732,1.0,0.00478122243535602
365d,441840,137193,1.0,0.00406378949575093
365d,441840,4168498,1.0,0.00319165984480612
365d,441840,4275722,1.0,0.00296647603894333
365d,441840,4172024,1.0,0.00228281345774125
365d,441840,4179304,1.0,0.00212614036017718
365d,441840,4101673,1.0,0.00144005500996309
365d,441840,4021783,1.0,0.00123392401782054
365d,441840,4172857,1.0,0.00122900332444441
365d,441840,437382,1.0,0.000976574318635263
365d,441840,4041287,1.0,0.00040747104445067
365d,441840,137977,1.0,0.00037552737837866
365d,441840,607856,1.0,0.000272295668421025
365d,441840,4022569,1.0,0.000179246247278847
365d,441840,4306009,1.0,0.000173874804642564
365d,441840,4089228,1.0,0.000153032293839643
365d,441840,439156,1.0,0.000113561822202001
365d,441840,444107,1.0,5.58475429209768e-05
365d,441840,4041281,1.0,5.38702998150475e-05
365d,441840,4024705,1.0,2.99423175740155e-05
365d,441840,138667,1.0,2.97744824458201e-05
365d,441840,4154783,1.0,1.69479224948817e-05
